MLR_No,ML_Lic_No,Period,Name_Eng,Name_Chi,Expiry_Date,Remarks
5192,1676/2019,As at 29 February 2020,Superb Mortgage Limited,金興隆按揭有限公司,04-Oct-20,
4848,1675/2019,As at 29 February 2020,Red Eagle Finance Limited,漢英財務有限公司,07-Sep-20,
4220,1674/2019,As at 29 February 2020,South China Properties Credits Limited,南華物業信貸有限公司,29-Sep-20,
4215,1673/2019,As at 29 February 2020,Easy Financial Support Limited,至易借財務有限公司,17-Sep-20,
4210,1672/2019,As at 29 February 2020,View Finance Limited,景達財務有限公司,15-Sep-20,
3900,1671/2019,As at 29 February 2020,Altus Capital Limited,浩德融資有限公司,28-Oct-20,
3878,1670/2019,As at 29 February 2020,Great Harvest Finance Limited,鴻圖財務有限公司,30-Sep-20,
3868,1669/2019,As at 29 February 2020,China Prestige Capital (Holding) Limited,中國駿匯資本控股有限公司,18-Sep-20,
3626,1668/2019,As at 29 February 2020,Winning Wealth Management Limited,運籌財富管理有限公司,08-Oct-20,
3597,1667/2019,As at 29 February 2020,Lead Rich International Finance Limited,領豐國際財務有限公司,03-Sep-20,
3433,1666/2019,As at 29 February 2020,Goodstone Development Limited,帝信發展有限公司,27-Sep-20,
3400,1665/2019,As at 29 February 2020,"China Cinda (HK) Asset Management Co., Limited",中國信達(香港)資產管理有限公司,11-Sep-20,
3088,1664/2019,As at 29 February 2020,Zhongda Factoring Financial Limited,中大保理金融有限公司,15-Sep-20,
3087,1663/2019,As at 29 February 2020,Goldin Factoring Limited,高銀金融保理發展有限公司,15-Sep-20,
3023,1662/2019,As at 29 February 2020,Common Ray Limited,智圓有限公司,02-Oct-20,
2982,1661/2019,As at 29 February 2020,New Horizon Finance (HK) Limited,新域融資(香港)有限公司,27-Nov-20,
2513,1660/2019,As at 29 February 2020,First Ascent Properties Finance Limited,新昇物業按揭有限公司,15-Sep-20,
2434,1659/2019,As at 29 February 2020,Joyrise Finance Limited,訊富財務有限公司,25-Nov-20,
1006,1658/2019,As at 29 February 2020,Epaka Finance Limited,施百嘉財務有限公司,29-Oct-20,
5605,1657/2019,As at 29 February 2020,Youxtouch Finance Limited,煜達信貸有限公司,17-Dec-20,
5604,1656/2019,As at 29 February 2020,228 Finance Limited,易易發財務有限公司,17-Dec-20,
