MLR_No,ML_Lic_No,Period,Name_Eng,Name_Chi,Expiry_Date,Remarks
3864,1400/2019,As at 29 February 2020,Great Wall Credit Limited,長城信貸有限公司,16-Sep-20,
3642,1399/2019,As at 29 February 2020,Kai Yuan Capital Limited,開源融資有限公司,07-Nov-20,
3419,1398/2019,As at 29 February 2020,Ample Success International Limited,振成國際有限公司,25-Sep-20,
3397,1397/2019,As at 29 February 2020,Rich Well Finance Limited,富盈財務有限公司,16-Aug-20,
3394,1396/2019,As at 29 February 2020,Easy Mortgage Limited,易按揭有限公司,07-Aug-20,
3265,1395/2019,As at 29 February 2020,Mega Union Finance Limited,聯大財務有限公司,01-Nov-20,
3262,1394/2019,As at 29 February 2020,Right King Credit Company Limited,滙金信貸有限公司,18-Oct-20,
2587,1393/2019,As at 29 February 2020,Top Billion Finance Limited,億峰財務有限公司,10-Aug-20,
1581,1392/2019,As at 29 February 2020,Kowloon Development Finance Limited,九龍建業財務有限公司,20-Jul-20,
1459,1391/2019,As at 29 February 2020,China Great Wall AMC (International) Holdings Company Limited,中國長城資產(國際)控股有限公司,12-Aug-20,
3229,1390/2019,As at 29 February 2020,Freeman Opto Money Lending Corporation Limited,,09-Aug-20,
5152,1389/2019,As at 29 February 2020,Golden Sands Credit Limited,金沙信貸有限公司,07-Aug-20,
4548,1388/2019,As at 29 February 2020,Fully Great Asia Limited,富德亞洲有限公司,11-Aug-20,
4529,1387/2019,As at 29 February 2020,China Tian Yuan Leasing and Credit Limited,中國天元租賃信貸有限公司,28-Jul-20,
4170,1386/2019,As at 29 February 2020,Jiangxi Copper Hong Kong Company Limited,江西銅業香港有限公司,06-Aug-20,
4168,1385/2019,As at 29 February 2020,AXHT Company Limited,安泰亞洲有限公司,04-Aug-20,
4167,1384/2019,As at 29 February 2020,Golden Treasure Finance Limited,金寶財務有限公司,04-Aug-20,
3863,1383/2019,As at 29 February 2020,King's Credit Limited,天御財務有限公司,11-Sep-20,
3853,1382/2019,As at 29 February 2020,Wealth Financial Credits Limited,盛富信貸財務有限公司,28-Aug-20,
3834,1381/2019,As at 29 February 2020,Future Stars Finance Limited,昇輝信貸有限公司,05-Aug-20,
3610,1380/2019,As at 29 February 2020,Cypress Finance Limited,栢裕信貸有限公司,19-Sep-20,
3587,1379/2019,As at 29 February 2020,Frontier Finance Limited,方達財務有限公司,15-Aug-20,
3583,1378/2019,As at 29 February 2020,Crown Bridge Finance Company Limited,冠橋金融信貸有限公司,08-Aug-20,
3582,1377/2019,As at 29 February 2020,Richest Finance Company Limited,榮智富財務有限公司,30-Jul-20,
3550,1376/2019,As at 29 February 2020,Galactic Power Limited,威銀匯成有限公司,10-Sep-20,
3439,1375/2019,As at 29 February 2020,Victory Finance Company Limited,勝利財務有限公司,25-Oct-20,
3258,1374/2019,As at 29 February 2020,Citizens Money Lending Corporation Limited,民眾財務有限公司,11-Oct-20,
3242,1373/2019,As at 29 February 2020,Grand Crystal Investment Limited,新晶投資有限公司,22-Sep-20,
3235,1372/2019,As at 29 February 2020,Genting Credit Limited,,08-Sep-20,
3080,1371/2019,As at 29 February 2020,Cordoba Homes Finance Limited,,13-Aug-20,
2968,1370/2019,As at 29 February 2020,Prosper Finance Limited,建富財務有限公司,27-Sep-20,
2893,1369/2019,As at 29 February 2020,Pacific Financial Services Limited,太平洋國際財務有限公司,10-Aug-20,
2859,1368/2019,As at 29 February 2020,Wo Sum Finance Development Co.,和森財務發展公司,23-Aug-20,
2858,1367/2019,As at 29 February 2020,Pofair Limited,普暉有限公司,28-Jul-20,
2520,1366/2019,As at 29 February 2020,Asia Pacific Finance & Fund Management Co Limited,亞太基金財務有限公司,27-Sep-20,
5573,1365/2019,As at 29 February 2020,Hong Kong Credit Finance Limited,香港信用財務有限公司,31-Oct-20,
5572,1364/2019,As at 29 February 2020,Easy Money Capital Limited,,31-Oct-20,
5568,1363/2019,As at 29 February 2020,P-Solution Company Limited,精算資產有限公司,31-Oct-20,
5565,1362/2019,As at 29 February 2020,Shining Star Financial Company Limited,耀星財務有限公司,31-Oct-20,
5564,1361/2019,As at 29 February 2020,Forthright Finance Company Limited,方德財務有限公司,31-Oct-20,
5562,1360/2019,As at 29 February 2020,Tranchor Finance Limited ,財科金融有限公司,31-Oct-20,
5561,1359/2019,As at 29 February 2020,Fundaholic Capital Limited,,31-Oct-20,
5558,1358/2019,As at 29 February 2020,Planetree Finance Limited,,31-Oct-20,
5551,1357/2019,As at 29 February 2020,PU Investment Company Limited,邦理投資有限公司,31-Oct-20,
5428,1356/2019,As at 29 February 2020,Lend Heroes Credit Limited ,超人信貸有限公司,31-Oct-20,
5187,1355/2019,As at 29 February 2020,Full King Credit Limited,富景信貸有限公司,18-Sep-20,
5179,1354/2019,As at 29 February 2020,IdeaX Innoworks Limited,,11-Sep-20,
5177,1353/2019,As at 29 February 2020,China Sky Credit Limited,中天信貸有限公司,23-Aug-20,
5164,1352/2019,As at 29 February 2020,Cash Lane Credit Limited,萬進信貸有限公司,14-Aug-20,
4884,1351/2019,As at 29 February 2020,Parchment Financial Services Limited,帕加馬(香港)金融服務有限公司,10-Oct-20,
3869,1350/2019,As at 29 February 2020,Yixin Holdings Limited,懿鑫控股有限公司,16-Sep-20,
3857,1349/2019,As at 29 February 2020,Trueway International Mortgage Limited,駿滙國際按揭有限公司,18-Sep-20,
3837,1348/2019,As at 29 February 2020,Skyline Credit Limited,信嘉財務有限公司,26-Aug-20,
3383,1347/2019,As at 29 February 2020,Chinese Financial Limited,華人金融信貸有限公司,31-Jul-20,
2912,1346/2019,As at 29 February 2020,BOCI Finance Limited,中銀國際財務有限公司,08-Aug-20,
2651,1345/2019,As at 29 February 2020,Hansom Finance Limited,恒盛財務有限公司,14-Aug-20,
1843,1344/2019,As at 29 February 2020,Noble Fund Limited,樂寶財務有限公司,17-Oct-20,
1831,1343/2019,As at 29 February 2020,Leahander Trading Limited,利興強貿易有限公司,27-Sep-20,
1445,1342/2019,As at 29 February 2020,Guang Rong Finance Company Limited,廣永財務有限公司,29-Jul-20,
1370,1341/2019,As at 29 February 2020,Koon Wah Finance Company Limited,冠華財務有限公司,20-Oct-20,
5560,1340/2019,As at 29 February 2020,NewQuay Limited,,24-Oct-20,
5559,1339/2019,As at 29 February 2020,Hoi Wang Enterprise Limited,海泓環球有限公司,24-Oct-20,
695,1338/2019,As at 29 February 2020,"Hang Lee Finance Company, Limited",顯利財務有限公司,24-Oct-20,
5172,1337/2019,As at 29 February 2020,168 Capital Limited,168 資本有限公司,23-Aug-20,
5127,1336/2019,As at 29 February 2020,"Gracie Point International, Limited",,17-Jul-20,
5118,1335/2019,As at 29 February 2020,Wilson International Capital Limited,滙生國際資本有限公司,26-Jun-20,
4596,1334/2019,As at 29 February 2020,Ever Asia Development Limited,恒佳發展有限公司,22-Sep-20,
4406,1333/2019,As at 29 February 2020,Wealth Loyal Investment Limited,誼富投資有限公司,02-Aug-20,
4179,1332/2019,As at 29 February 2020,Gain Great Investment Limited,易得投資有限公司,11-Aug-20,
4156,1331/2019,As at 29 February 2020,Turbo Credit Company Limited,通寶信貸有限公司,21-Jul-20,
3826,1330/2019,As at 29 February 2020,Yen Sheng Finance Company Limited,仁誠財務有限公司,29-Jul-20,
3567,1329/2019,As at 29 February 2020,NEC Capital Solutions Hong Kong Limited,日本電氣租賃香港有限公司,25-Jul-20,
3407,1328/2019,As at 29 February 2020,China Rich Finance Limited,漢富財務有限公司,04-Sep-20,
3402,1327/2019,As at 29 February 2020,Bright Harvest Holdings Limited,曜鋒控股有限公司,21-Aug-20,
3021,1326/2019,As at 29 February 2020,Bonnie Finance Company Limited,邦理財務有限公司,04-Sep-20,
3011,1325/2019,As at 29 February 2020,Eternal Bright Investment Development Limited,創輝投資發展有限公司,21-Aug-20,
2919,1324/2019,As at 29 February 2020,Splendor Credit Limited,榮輝信貸有限公司,26-Sep-20,
2911,1323/2019,As at 29 February 2020,A A Compass Finance Limited,環亞財務策劃有限公司,25-Jul-20,
2909,1322/2019,As at 29 February 2020,Hong Kong International Credit Limited,,25-Jul-20,
2856,1321/2019,As at 29 February 2020,3G Finance Limited,三資財務有限公司,28-Jul-20,
1803,1320/2019,As at 29 February 2020,Sinopec Century Bright Capital Investment Limited,中國石化盛駿國際投資有限公司,07-Sep-20,
1219,1319/2019,As at 29 February 2020,AEON Credit Service (Asia) Company Limited,AEON信貸財務(亞洲)有限公司,07-Aug-20,
3015,1318/2019,As at 29 February 2020,Maxcolm Finance Limited,尚誠融資有限公司,21-Aug-20,
5557,1317/2019,As at 29 February 2020,Genuine Glory Investments Limited,,22-Oct-20,
5556,1316/2019,As at 29 February 2020,Key Solution Venture Limited,,22-Oct-20,
5548,1315/2019,As at 29 February 2020,Long Yin Group (Hong Kong) Limited,隆印集團(香港)有限公司,22-Oct-20,
5122,1314/2019,As at 29 February 2020,HS Services Limited,恆迅服務有限公司,28-Jun-20,
5110,1313/2019,As at 29 February 2020,XFB FinTech Company Limited,小房包金融科技有限公司,21-Jun-20,
5058,1312/2019,As at 29 February 2020,Ultra Accord Limited,卓導有限公司,26-Jun-20,
4809,1311/2019,As at 29 February 2020,Wealth Link Capital Management Limited,富通資本策劃有限公司,18-Jul-20,
4568,1310/2019,As at 29 February 2020,Credit Mall Limited,信貸廣場有限公司,30-Aug-20,
4183,1309/2019,As at 29 February 2020,Bao Yuan Finance Limited,寶元財務有限公司,18-Aug-20,
4136,1308/2019,As at 29 February 2020,China-Hong Kong Link Finance Company Limited,中港通財務有限公司,02-Jul-20,
4122,1307/2019,As at 29 February 2020,Fast Rise Investments Limited,快宏投資有限公司,23-Jun-20,
3804,1306/2019,As at 29 February 2020,Good Success Finance Limited,成利財務有限公司,26-Jun-20,
3732,1305/2019,As at 29 February 2020,CMBC Capital Finance Limited,民銀資本財務有限公司,20-Jul-20,
3466,1304/2019,As at 29 February 2020,Shun Tat Finance Company Limited,順達財務有限公司,18-Jun-20,
3396,1303/2019,As at 29 February 2020,Sun Hing Finance Limited,新興金融財務有限公司,04-Sep-20,
3225,1302/2019,As at 29 February 2020,Alliance Credit Services Limited,聯合信貸服務有限公司,05-Jul-20,
3220,1301/2019,As at 29 February 2020,Fulhon Finance Company Limited,富匡財務有限公司,05-Jul-20,
3146,1300/2019,As at 29 February 2020,Golden Fields Finance Limited,金田財務有限公司,13-Jul-20,
3083,1299/2019,As at 29 February 2020,Capital Choice Limited,豪財有限公司,25-Aug-20,
3008,1298/2019,As at 29 February 2020,Wealth Lee Finance Limited,惠利財務有限公司,03-Jul-20,
2753,1297/2019,As at 29 February 2020,VC Finance Limited,滙盈財務有限公司,08-Jul-20,
1977,1296/2019,As at 29 February 2020,CATIC International Finance Limited,凱迪克國際財務有限公司,02-Jul-20,
1086,1295/2019,As at 29 February 2020,Tokai Tokyo Securities (Asia) Limited,東海東京證券(亞洲)有限公司,05-Aug-20,
5161,1294/2019,As at 29 February 2020,Target Charm Limited,濠逸有限公司,09-Aug-20,
5157,1293/2019,As at 29 February 2020,Ting Fung Holdings Limited,鼎豐控股有限公司,09-Aug-20,
5156,1292/2019,As at 29 February 2020,So Good Finance Limited ,貸好財務有限公司,14-Aug-20,
5143,1291/2019,As at 29 February 2020,Grand Success Credit Limited,冠成信貸有限公司,19-Jul-20,
4847,1290/2019,As at 29 February 2020,Noah Financial Services (Hong Kong) Limited,諾亞金融服務(香港)有限公司,31-Aug-20,
4818,1289/2019,As at 29 February 2020,Ever Finance Limited,恒泰財務有限公司,18-Jul-20,
4815,1288/2019,As at 29 February 2020,"Hongkong Huiyu Financial Co., Limited",香港匯裕財務有限公司,13-Jul-20,
4597,1287/2019,As at 29 February 2020,Fortunate Commerce Company Limited,財通商業有限公司,22-Sep-20,
4589,1286/2019,As at 29 February 2020,Po Lee Finance Limited,寶利金融有限公司,22-Sep-20,
4584,1285/2019,As at 29 February 2020,Wealth Link Credit Service Limited,富滙信貸有限公司,27-Sep-20,
4532,1284/2019,As at 29 February 2020,Sky Success Finance Limited,天成財務有限公司,28-Jul-20,
4133,1283/2019,As at 29 February 2020,Black Sheep Capital Limited,黑羊資本有限公司,28-Jul-20,
4535,1282/2019,As at 29 February 2020,FH Finance Company Limited,復利財務有限公司,03-Aug-20,
3808,1281/2019,As at 29 February 2020,Wiki Capital Finance Limited,維基資本有限公司,06-Oct-20,
3576,1280/2019,As at 29 February 2020,Simple Credit Limited,簡易信貸有限公司,30-Jul-20,
3434,1279/2019,As at 29 February 2020,Easy Rich Finance Limited,易富財務有限公司,18-Oct-20,
3377,1278/2019,As at 29 February 2020,Profit Come Enterprises Limited,富臨企業有限公司,17-Jul-20,
3332,1277/2019,As at 29 February 2020,Star World Finance Limited,星世財務有限公司,16-Sep-20,
3237,1276/2019,As at 29 February 2020,Full Gold Credit Company Limited,富金信貸有限公司,08-Sep-20,
2996,1275/2019,As at 29 February 2020,Danamax Finance Limited,大盛財務有限公司,31-Jul-20,
2652,1274/2019,As at 29 February 2020,KCG Finance Limited,寶通財務有限公司,06-Sep-20,
2649,1273/2019,As at 29 February 2020,Easy Fortune Property Limited,順富地產有限公司,25-Sep-20,
1450,1272/2019,As at 29 February 2020,Kingston Finance Limited,金利豐財務有限公司,27-Jul-20,
2404,1271/2019,As at 29 February 2020,Emperor Finance Limited,英皇財務有限公司,08-Sep-20,
4562,1270/2019,As at 29 February 2020,AccGirl Finance Limited,會計妹財務有限公司,20-Sep-20,
5555,1269/2019,As at 29 February 2020,Wynyard Development Limited,永展顧問有限公司,15-Oct-20,
5550,1268/2019,As at 29 February 2020,88 Finance Limited,88財務有限公司,15-Oct-20,
5546,1267/2019,As at 29 February 2020,Oriental Richfield Limited,東方富達有限公司,15-Oct-20,
5067,1266/2019,As at 29 February 2020,Grand Horizon Fortune Company Limited,鴻達財富有限公司,15-Oct-20,
4854,1265/2019,As at 29 February 2020,Quality Capital Limited,品質資本有限公司,15-Oct-20,
4609,1264/2019,As at 29 February 2020,Dawn Finance Limited,曙光金融有限公司,15-Oct-20,
3137,1263/2019,As at 29 February 2020,Go Sing Credit Company Limited,高星信貸有限公司,15-Oct-20,
5141,1262/2019,As at 29 February 2020,Diamond Sky Capital Limited,天鑽資本有限公司,17-Jul-20,
5130,1261/2019,As at 29 February 2020,Kam Luen Credit Limited,金鑾信貸有限公司,05-Jul-20,
5114,1260/2019,As at 29 February 2020,FE Loan Company Limited,快易借財務有限公司,19-Jun-20,
4813,1259/2019,As at 29 February 2020,Loyalty EC Limited,晴雨易有限公司,04-Jul-20,
4806,1258/2019,As at 29 February 2020,A1 Credit Limited,先達信貸有限公司,04-Jul-20,
4595,1257/2019,As at 29 February 2020,Grand Harbour Finance Limited,泓港財務有限公司,29-Sep-20,
4525,1256/2019,As at 29 February 2020,Glory Investment Limited,浚輝投資有限公司,12-Jul-20,
4518,1255/2019,As at 29 February 2020,Asia One Credit Limited,亞洲第一信貸有限公司,07-Jul-20,
4144,1254/2019,As at 29 February 2020,Success Fortune Financial Planning Limited,實盈財務策劃有限公司,07-Jul-20,
3825,1253/2019,As at 29 February 2020,33 Consultants Services Limited,三三顧問服務有限公司,29-Jul-20,
3809,1252/2019,As at 29 February 2020,So Simple Finance (Asia) Limited,貳財務(亞洲)有限公司,03-Jul-20,
3807,1251/2019,As at 29 February 2020,Fortune Luck Finance Company Limited,大運財務有限公司,03-Jul-20,
3721,1250/2019,As at 29 February 2020,Top One International (Hong Kong) Limited,首富國際(香港)有限公司,21-Sep-20,
3560,1249/2019,As at 29 February 2020,Total Express International (HK) Limited,全通國際(香港)有限公司,16-Jul-20,
3089,1248/2019,As at 29 February 2020,Money Link Asia Finance Limited,萬力亞洲財務有限公司,08-Sep-20,
5554,1247/2019,As at 29 February 2020,Jackson Finance Limited,捷誠信貸有限公司,10-Oct-20,
5553,1246/2019,As at 29 February 2020,Faithful Capital (HK) Limited,信實信貸有限公司,10-Oct-20,
5552,1245/2019,As at 29 February 2020,Ace Power Limited,,10-Oct-20,
5549,1244/2019,As at 29 February 2020,Exim Finance (Hong Kong) Limited,,10-Oct-20,
5536,1243/2019,As at 29 February 2020,Hentech Global Capital Limited,匯盈環球資本有限公司,10-Oct-20,
5178,1242/2019,As at 29 February 2020,Apple Credit Limited,蘋果資產管理有限公司,11-Sep-20,
5147,1241/2019,As at 29 February 2020,Ying Fung Credit Limited,盈豐信貸有限公司,19-Jul-20,
4802,1240/2019,As at 29 February 2020,White Equity Limited,,29-Jun-20,
4594,1239/2019,As at 29 February 2020,Yiu Cheung (Credit) Investment Limited,耀翔(信貸)投資有限公司,29-Sep-20,
4527,1238/2019,As at 29 February 2020,Sunny Bright Finance Limited,輝鴻財務有限公司,26-Jul-20,
4516,1237/2019,As at 29 February 2020,Dongxing Securities (Hong Kong) Finance Company Limited,東興證券(香港)財務有限公司,30-Jun-20,
4184,1236/2019,As at 29 February 2020,Danos Limited,,25-Aug-20,
4160,1235/2019,As at 29 February 2020,E-way (Hong Kong) Property Credit Limited,意達(香港)物業信貸有限公司,04-Aug-20,
4153,1234/2019,As at 29 February 2020,Joy Rich Finance Limited,海富融資有限公司,21-Jul-20,
4146,1233/2019,As at 29 February 2020,DFL-Shutoken Leasing (Hong Kong) Company Limited,,09-Jul-20,
4139,1232/2019,As at 29 February 2020,Billion Credit Financial Company Limited,億盛財務(香港)有限公司,18-Aug-20,
3822,1231/2019,As at 29 February 2020,U Finance Limited,迅捷理財有限公司,24-Jul-20,
3816,1230/2019,As at 29 February 2020,Bo Wai Finance Company Limited,寶威財務有限公司,17-Jul-20,
3588,1229/2019,As at 29 February 2020,H&R Capital (International) Limited,中寶國際融資有限公司,15-Aug-20,
3404,1228/2019,As at 29 February 2020,Easy Cash Company Limited,富通財務有限公司,16-Aug-20,
3231,1227/2019,As at 29 February 2020,Finance One Limited,日本網絡通財務有限公司,14-Jul-20,
3026,1226/2019,As at 29 February 2020,Global Wealth Finance Limited,環富財務有限公司,09-Aug-20,
2578,1225/2019,As at 29 February 2020,RPI Finance Limited,御泰財務有限公司,29-Jun-20,
92,1224/2019,As at 29 February 2020,FortWay Finance Limited,匯澤財務有限公司,16-Aug-20,
5547,1223/2019,As at 29 February 2020,Cullinan (Asia) Limited,天璽(亞洲)有限公司,08-Oct-20,
5544,1222/2019,As at 29 February 2020,Real Heart Credit Corporation Limited,真心信貸集團有限公司,08-Oct-20,
5543,1221/2019,As at 29 February 2020,Quick Silver Credit Limited,滙銀信貸有限公司,08-Oct-20,
5540,1220/2019,As at 29 February 2020,Prosperity Credit Limited,安盛信貸有限公司,08-Oct-20,
5539,1219/2019,As at 29 February 2020,Ando Finance Limited,安道金融有限公司,08-Oct-20,
5538,1218/2019,As at 29 February 2020,Janco Auto Logistics Limited ,駿高汽車物流有限公司,08-Oct-20,
5529,1217/2019,As at 29 February 2020,King Dynasty Capital Limited ,港晉資本有限公司,08-Oct-20,
5415,1216/2019,As at 29 February 2020,18 Finance Company Limited,18信貸有限公司,08-Oct-20,
4520,1215/2019,As at 29 February 2020,Dian Holding Limited,鈿資本有限公司,08-Oct-20,
5149,1214/2019,As at 29 February 2020,WOS Fintech Limited ,和氏融資有限公司,07-Aug-20,
5140,1213/2019,As at 29 February 2020,Lending Pro Finance Limited,創投財務有限公司,26-Jul-20,
4555,1212/2019,As at 29 February 2020,Smart Time International Limited,聯泰國際有限公司,25-Aug-20,
4542,1211/2019,As at 29 February 2020,Leeway Financial Company Limited,理匯商業信用有限公司,04-Aug-20,
4223,1210/2019,As at 29 February 2020,Equities First Holdings Hong Kong Limited,,24-Sep-20,
4200,1209/2019,As at 29 February 2020,JC Credit Limited,邁基財務有限公司,27-Aug-20,
4124,1208/2019,As at 29 February 2020,First Capital Finance Limited,首控金融信貸有限公司,18-Jun-20,
4083,1207/2019,As at 29 February 2020,First Top Finance Limited,永高財務有限公司,27-Aug-20,
3608,1206/2019,As at 29 February 2020,Niko Financial Limited,力高財務有限公司,19-Sep-20,
3599,1205/2019,As at 29 February 2020,Total Capital Limited,多本有限公司,03-Sep-20,
2211,1204/2019,As at 29 February 2020,The Hong Kong Building And Loan Agency Limited,香港建屋貸款有限公司,09-Sep-20,
1093,1203/2019,As at 29 February 2020,Yatlee Investments Limited,英浩投資有限公司,19-Sep-20,
1090,1202/2019,As at 29 February 2020,Chuang's Credit Limited,莊士金融有限公司,29-Jul-20,
5537,1201/2019,As at 29 February 2020,Bond Fu Finance Company Limited,邦富信貸有限公司,03-Oct-20,
4821,1200/2019,As at 29 February 2020,Sun Securities Holdings Limited,太陽證券控股有限公司,01-Aug-20,
4726,1199/2019,As at 29 February 2020,Fortune Finance Hong Kong Limited,港貸財務有限公司,12-Sep-20,
4557,1198/2019,As at 29 February 2020,"Caitong Securities (Hong Kong) Co., Limited",財通證券(香港)有限公司,11-Aug-20,
4521,1197/2019,As at 29 February 2020,Prospera International Finance Limited,利亨國際財務有限公司,12-Jul-20,
4503,1196/2019,As at 29 February 2020,L & A Solutions Limited,,30-Jun-20,
4145,1195/2019,As at 29 February 2020,Advance Choice Limited,晉彩有限公司,07-Jul-20,
4071,1194/2019,As at 29 February 2020,Multiple Mortgage Limited,大眾按揭有限公司,25-Aug-20,
3606,1193/2019,As at 29 February 2020,Honour Sky Development Limited,譽天發展有限公司,10-Sep-20,
3589,1192/2019,As at 29 February 2020,Grand Prospects Finance International Limited,華泰財務國際有限公司,20-Aug-20,
3566,1191/2019,As at 29 February 2020,Hong Kong T.K.L. Group Limited,香港醉瓊樓集團有限公司,09-Jul-20,
3558,1190/2019,As at 29 February 2020,1st PMF Capital Limited,第一普銀資本有限公司,25-Jun-20,
3387,1189/2019,As at 29 February 2020,Power Cash Finance Limited,陞滙財務有限公司,16-Aug-20,
3247,1188/2019,As at 29 February 2020,Chief Union Investments Limited,智協投資有限公司,27-Sep-20,
3085,1187/2019,As at 29 February 2020,Eagle Star Finance Limited,鷹星財務有限公司,08-Sep-20,
3075,1186/2019,As at 29 February 2020,Yes Man Finance Company Limited,發達先生財務有限公司,07-Jul-20,
3074,1185/2019,As at 29 February 2020,Yes Lady Finance Company Limited,發達太太財務有限公司,07-Jul-20,
2614,1184/2019,As at 29 February 2020,Master Tone Limited,文通有限公司,25-Aug-20,
1982,1183/2019,As at 29 February 2020,Luckson Wealth Limited,保運佳有限公司,07-Jul-20,
1949,1182/2019,As at 29 February 2020,Beijing China Finance Co Limited,北京中國財務有限公司,16-Sep-20,
4812,1181/2019,As at 29 February 2020,Bloom Dragon Finance Limited,興龍財務有限公司,06-Jul-20,
5542,1180/2019,As at 29 February 2020,Millions Credit Limited,萬益信貸有限公司,26-Sep-20,
5535,1179/2019,As at 29 February 2020,Isshin Finance Company Limited,一心財務有限公司,26-Sep-20,
5534,1178/2019,As at 29 February 2020,Jadeite Capital Limited,瑧易資本有限公司,26-Sep-20,
5533,1177/2019,As at 29 February 2020,Innovation Credit Limited,日新信貸有限公司,26-Sep-20,
5532,1176/2019,As at 29 February 2020,Leader Tone Finance Limited ,利達通信貸有限公司,26-Sep-20,
5531,1175/2019,As at 29 February 2020,Cash Buzzer Limited,丞裕有限公司,26-Sep-20,
5526,1174/2019,As at 29 February 2020,Fly High Finance Limited ,飛昇財務有限公司,26-Sep-20,
5466,1173/2019,As at 29 February 2020,Fullway Credit Limited ,富薈信貸有限公司,26-Sep-20,
4819,1172/2019,As at 29 February 2020,Golden Yield Finance Limited,金耀財務有限公司,01-Aug-20,
4783,1171/2019,As at 29 February 2020,Achiever Finance Limited,捷達財務有限公司,06-Jun-20,
4508,1170/2019,As at 29 February 2020,BBPS Capital Limited,鴻橋資本有限公司,28-Jun-20,
4456,1169/2019,As at 29 February 2020,Andy Credit Limited,天時信貸有限公司,05-Sep-20,
4199,1168/2019,As at 29 February 2020,Genesis Capital Company Limited,創紀資本有限公司,27-Aug-20,
4162,1167/2019,As at 29 February 2020,Ziven Credit Limited,冠泓信貸有限公司,04-Aug-20,
4140,1166/2019,As at 29 February 2020,Easy Promise Limited,致富易有限公司,02-Jul-20,
3848,1165/2019,As at 29 February 2020,Central Link Wealth Management (HK) Limited,香港中鑫財富管理有限公司,28-Aug-20,
3802,1164/2019,As at 29 February 2020,Mega Concept International Enterprise Limited,百建國際企業有限公司,26-Jun-20,
3772,1163/2019,As at 29 February 2020,Wing Tak Lee Finance Limited,永得利信貸財務有限公司,15-Jul-20,
2953,1162/2019,As at 29 February 2020,Mortgage & Credit Limited,富利威信貸有限公司,26-Jun-20,
2374,1161/2019,As at 29 February 2020,Onshine Credits Limited,朗盈財務有限公司,30-Jun-20,
3828,1160/2019,As at 29 February 2020,Master Finance Company Limited,財務達人有限公司,29-Jul-20,
5160,1159/2019,As at 29 February 2020,Goldenway Finance Company Limited,金道融資有限公司,16-Aug-20,
5121,1158/2019,As at 29 February 2020,Fast Profit Finance Limited,捷盈財務有限公司,26-Jun-20,
5090,1157/2019,As at 29 February 2020,TC Concord Credit (HK) Limited ,天宸信貸(香港)有限公司,14-Aug-20,
4856,1156/2019,As at 29 February 2020,Com Po Financial Holdings Limited,金寶金融控股有限公司,12-Sep-20,
4829,1155/2019,As at 29 February 2020,Kakafu Credit Limited,家家富信貸有限公司,15-Aug-20,
4776,1154/2019,As at 29 February 2020,Fundingreach Limited,連融有限公司,08-Jun-20,
4560,1153/2019,As at 29 February 2020,Tian Tian Investment (HK) Company Limited,天天興業投資(香港)有限公司,06-Sep-20,
4191,1152/2019,As at 29 February 2020,Fast Winner Holdings Limited,勝興控股有限公司,27-Aug-20,
4129,1151/2019,As at 29 February 2020,Full Treasure Consultants Limited,富通顧問有限公司,25-Jun-20,
3817,1150/2019,As at 29 February 2020,VMS Credit Limited,鼎珮信貸有限公司,17-Jul-20,
3796,1149/2019,As at 29 February 2020,Premier Capital Management Limited,尊貴融資有限公司,26-Jun-20,
3603,1148/2019,As at 29 February 2020,Megawealth Mortgage Financing Company Limited,萬寶按揭融資有限公司,10-Sep-20,
3426,1147/2019,As at 29 February 2020,Go Ahead Global Limited,高進環球有限公司,18-Sep-20,
3386,1146/2019,As at 29 February 2020,Brilliant Finance Mortgage Company Limited,焯遞按揭有限公司,14-Aug-20,
3061,1145/2019,As at 29 February 2020,Easy Loans Limited,依時財務有限公司,06-Aug-20,
2964,1144/2019,As at 29 February 2020,Shiny Rising Limited,陞揚有限公司,28-Aug-20,
2863,1143/2019,As at 29 February 2020,Stockmartnet Limited,金融社有限公司,01-Sep-20,
1152,1142/2019,As at 29 February 2020,China Tonghai Finance Limited,中國通海財務有限公司,29-Jun-20,
745,1141/2019,As at 29 February 2020,Mitsubishi UFJ Lease & Finance (Hong Kong) Limited,三菱日聯租賃(香港)有限公司,21-Jul-20,
1346,1140/2019,As at 29 February 2020,"Promise (Hong Kong) Co., Limited",邦民日本財務(香港)有限公司,23-Jun-20,
5117,1139/2019,As at 29 February 2020,Speedy Credit Limited,快易信貸有限公司,28-Jun-20,
5102,1138/2019,As at 29 February 2020,Elite Act Worldwide Limited,高俊環球有限公司,19-Jun-20,
4811,1137/2019,As at 29 February 2020,Top-Up Capital Limited,景生資本有限公司,25-Jul-20,
4807,1136/2019,As at 29 February 2020,China Construction Finance Limited,中建財務有限公司,04-Jul-20,
4792,1135/2019,As at 29 February 2020,Best Link Finance Limited,順興財務有限公司,20-Jun-20,
4784,1134/2019,As at 29 February 2020,General Assets Management Limited,通用資產管理有限公司,13-Jun-20,
4523,1133/2019,As at 29 February 2020,Credit One Group Limited,保信信貸有限公司,14-Jul-20,
4212,1132/2019,As at 29 February 2020,I Financial Limited,聯誠財務有限公司,15-Sep-20,
4150,1131/2019,As at 29 February 2020,Plouto Capital Limited,博圖資產管理有限公司,21-Jul-20,
3931,1130/2019,As at 29 February 2020,Tannet Group Limited,登尼特集團有限公司,31-Aug-20,
